               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083673,            0.030961,            0.029377,              0.5192,             0.22919,              0.1962,            0.068974,            0.061769,            0.017912,            0.017578,            0.070151,           0.0033166,           0.0033166
                   1,            0.065323,            0.026004,            0.015959,             0.39521,             0.32003,             0.27238,             0.10343,            0.060547,            0.017179,            0.013887,            0.040129,            0.006628,            0.006628
                   2,            0.061767,            0.026053,            0.014461,             0.31338,             0.26545,             0.19249,            0.071714,            0.062412,            0.019825,            0.016334,            0.010085,           0.0099174,           0.0099174
                   3,            0.060923,            0.026166,            0.014215,             0.42813,             0.38446,             0.33039,              0.1263,            0.055849,            0.018546,            0.013323,            0.009901,            0.009901,            0.009901
                   4,            0.057901,            0.026125,            0.013048,             0.41894,             0.36908,             0.32046,             0.12579,            0.055709,            0.018664,            0.012447,            0.009901,            0.009901,            0.009901
                   5,             0.05615,            0.025772,            0.012275,             0.48572,             0.41098,              0.3921,             0.15909,            0.051713,            0.016765,            0.011062,            0.009868,            0.009868,            0.009868
                   6,            0.055396,            0.025265,            0.011807,             0.49219,             0.40795,              0.3975,             0.16069,            0.052193,            0.017343,            0.011207,            0.009835,            0.009835,            0.009835
                   7,            0.054062,            0.025072,            0.011293,              0.5045,              0.4534,              0.4155,             0.17071,            0.049401,            0.016707,            0.010799,            0.009802,            0.009802,            0.009802
                   8,            0.053213,            0.024719,            0.011191,             0.49444,             0.46023,             0.43115,              0.1758,            0.050569,            0.016727,            0.010432,            0.009769,            0.009769,            0.009769
                   9,             0.05302,            0.025244,             0.01056,             0.47868,             0.40984,             0.39143,             0.16767,            0.051191,             0.01853,            0.011971,            0.009736,            0.009736,            0.009736
                  10,            0.052584,            0.024701,            0.010411,             0.53098,             0.47137,             0.45646,             0.19765,            0.048425,            0.016582,           0.0098407,            0.009703,            0.009703,            0.009703
                  11,            0.051797,            0.024415,            0.010035,             0.53518,             0.49108,             0.47857,             0.21102,            0.047393,            0.016153,           0.0091676,             0.00967,             0.00967,             0.00967
                  12,            0.051718,            0.024877,            0.010089,             0.52315,             0.46924,             0.45348,             0.19113,            0.048136,            0.016315,           0.0097061,            0.009637,            0.009637,            0.009637
                  13,            0.051388,            0.024151,           0.0099039,             0.53137,             0.50973,             0.48992,             0.21621,            0.046739,            0.016135,           0.0092408,            0.009604,            0.009604,            0.009604
                  14,            0.050707,            0.024534,           0.0094586,             0.55846,             0.49494,              0.4948,             0.22318,            0.047086,            0.016249,           0.0095003,            0.009571,            0.009571,            0.009571
                  15,            0.050963,            0.024253,           0.0095472,             0.51382,             0.47107,             0.45072,             0.19929,            0.047367,            0.016371,           0.0096833,            0.009538,            0.009538,            0.009538
                  16,            0.050394,            0.024258,           0.0093325,              0.5432,             0.49215,             0.48779,             0.21531,            0.047211,            0.016313,           0.0091425,            0.009505,            0.009505,            0.009505
                  17,            0.050278,            0.024247,           0.0091547,             0.55548,             0.50145,             0.49159,             0.22068,            0.046239,            0.016061,           0.0092625,            0.009472,            0.009472,            0.009472
